country,year,log_asdr
Andorra,1996,-2.442526984336842
Andorra,1997,-2.4420499546559733
Andorra,1998,-2.439270478807562
Andorra,1999,-2.435273235067272
Andorra,2000,-2.4368546759342062
Andorra,2001,-2.4105841674995343
Andorra,2002,-2.4009243281963366
Andorra,2003,-2.3957717834477625
Andorra,2004,-2.381482855729947
Andorra,2005,-2.375196514732412
Andorra,2006,-2.369688098539188
Andorra,2007,-2.372566290676231
Andorra,2008,-2.380603357983422
Andorra,2009,-2.38821128930068
Andorra,2010,-2.388560927003661
Andorra,2011,-2.402759704445026
Andorra,2012,-2.383343942696886
Andorra,2013,-2.388114587929696
Andorra,2014,-2.380596414220082
Andorra,2015,-2.3680523535020983
Andorra,2016,-2.370670811554275
Andorra,2017,-2.3728294639240666
Andorra,2018,-2.3771172032770287
Spain,1992,0.6771537354721882
Spain,1993,0.6984883208719505
Spain,1994,0.7298147843774819
Spain,1995,0.7586069213867955
Spain,1996,0.764607744756968
Spain,1997,0.7244540432016535
Spain,1998,0.6749915680306816
Spain,1999,0.6236857425493451
Spain,2000,0.5724010396631416
Spain,2001,0.5272132862110106
Spain,2002,0.49118458254813846
Spain,2003,0.4786894960078615
Spain,2004,0.45412130545249
Spain,2005,0.43476278876442725
Spain,2006,0.3905372352872043
Spain,2007,0.38157017498965573
Spain,2008,0.3701091216667071
Spain,2009,0.31389894550834063
Spain,2010,0.25725532471856155
Spain,2011,0.22704483744142942
Spain,2012,0.2155838761302472
Spain,2013,0.18929358879601868
Spain,2014,0.18970443443596322
Spain,2015,0.20985346857168116
Spain,2016,0.23197896473594784
Spain,2017,0.24927720110731594
Spain,2018,0.2761658485192033
Latvia,1992,0.5868474365481342
Latvia,1993,0.7656601895650433
Latvia,1994,0.888253604612077
Latvia,1995,0.8210952400915795
Latvia,1996,0.6885246963876176
Latvia,1997,0.6817217221768419
Latvia,1998,0.8067335445221654
Latvia,1999,0.8243534623482501
Latvia,2000,0.8511154759136534
Latvia,2001,0.9017849668244269
Latvia,2002,0.8760870357188532
Latvia,2003,0.8301918562262175
Latvia,2004,0.8578955379804026
Latvia,2005,0.9841212020133928
Latvia,2006,1.0722118354026053
Latvia,2007,1.0585010569525901
Latvia,2008,0.9256755817128373
Latvia,2009,0.7778997031698136
Latvia,2010,0.6613237152333162
Latvia,2011,0.5476300098094578
Latvia,2012,0.5444254137116531
Latvia,2013,0.5436345735761812
Latvia,2014,0.5243082007617115
Latvia,2015,0.5145574124516181
Latvia,2016,0.5443006703554467
Latvia,2017,0.604656368210265
Latvia,2018,0.6150932677018125
Norway,1992,0.9294795249130702
Norway,1993,1.043204220293888
Norway,1994,1.1771229471628286
Norway,1995,1.328070349631966
Norway,1996,1.4787994775458864
Norway,1997,1.588774097032833
Norway,1998,1.7398197930692019
Norway,1999,1.8144437955298358
Norway,2000,1.9548963017807084
Norway,2001,2.002697230821316
Norway,2002,1.952669199758623
Norway,2003,1.8755662009199514
Norway,2004,1.859129112945355
Norway,2005,1.8204153212124974
Norway,2006,1.7985551630913084
Norway,2007,1.7831431378660272
Norway,2008,1.7816947948096051
Norway,2009,1.774474583951298
Norway,2010,1.745332312757921
Norway,2011,1.7160369212600526
